file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,mfa_input_corpus,-45.94809981232714,-46.41451996825761,5.472701148224702,8.1467140199682
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,mfa_input_corpus,-43.836254340277776,-53.54345703125,3.9004342372592253,11.443148868500742
F2BJRLP2,0.0,28.6474375,mfa_input_corpus,-45.02809227748691,-45.76957795215629,3.6487972399429642,7.963719554694521
F2BJRLP3,0.0,30.7068125,mfa_input_corpus,-45.988552181699774,-46.878389893195056,3.6427144458271394,10.329792395517677
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,mfa_input_corpus,-43.230341063861985,-52.32008919349084,2.7359170504539816,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,mfa_input_corpus,-44.81881745328608,-50.88822523752848,2.54696087946546,12.358243745435463
