file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,english_mfa_input,-44.58643584890464,-48.65976853804155,4.078558147048813,12.422107757688021
F2BJRLP1,0.0,25.309125,english_mfa_input,-47.00282435302252,-48.250328197345866,3.940252361252528,8.071198188479606
F2BJRLP2,0.0,28.6474375,english_mfa_input,-46.190968586387434,-47.509881871691825,3.8849281388816777,7.755913280787091
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,english_mfa_input,-44.22029642100484,-48.422561352069565,3.5081854232023857,11.13029074707532
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,english_mfa_input,-45.24368489583333,-50.80093325101412,3.385831243391304,11.42655312425563
F2BJRLP3,0.0,30.7068125,english_mfa_input,-46.82109349560404,-48.32722629935054,3.2301894746743667,10.398520494158287
